Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
20130113.Dot structures I - Single bonds _ Structure and bonding _ Organic chemistry _ Khan Academy.BIZNBfBuu1w.en.txt,1,1265,25.62,43.72,32.88,38.41,1265.00,15.81,77.31,56.13,14.70,8.93,6.17,1.50,0.95,0.00,0.32,5.77,4.74,12.17,10.51,9.80,11.94,0.08,15.97,1.34,1.19,0.79,8.62,2.61,1.19,0.95,0.24,0.24,0.00,0.00,3.32,0.00,0.00,0.00,0.00,5.45,0.95,0.79,2.29,1.34,1.03,1.11,1.58,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.48,1.82,0.79,0.47,0.40,0.00,0.24,15.42,2.21,12.41,2.29,5.93,4.19,0.00,0.08,0.00,0.08,0.00,0.00,0.16,0.00,0.00,0.00,0.16,0.00,3.56,0.00,0.00,0.16,0.08,0.00,0.00,0.08,0.00,3.16,0.00,0.08
20140531.Chiral vs achiral _ Stereochemistry _ Organic chemistry _ Khan Academy.yChPRfm4yvg.en.txt,1,825,44.79,37.18,78.32,43.43,825.00,7.88,86.79,60.00,16.24,9.70,5.94,1.33,2.18,0.00,0.24,6.55,11.64,10.67,9.33,7.27,10.06,2.18,17.33,3.76,2.06,0.97,1.45,1.58,0.97,0.97,0.00,0.00,0.00,0.00,4.85,0.00,0.00,0.00,0.00,5.94,0.24,0.73,0.36,1.58,0.36,3.52,8.36,6.30,0.48,1.58,2.91,1.94,0.00,0.00,0.97,4.12,1.58,1.45,0.24,0.85,0.00,2.06,14.79,1.82,16.36,4.00,9.82,2.55,0.12,0.97,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.00,0.00,0.00,3.64,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00,3.39,0.00,0.00
20130625.Halogenation _ Aromatic Compounds _ Organic chemistry _ Khan Academy.3cVSSiuiwsQ.en.txt,1,1497,33.65,83.87,14.67,31.46,1497.00,17.10,79.96,61.46,17.03,7.95,1.67,4.68,1.40,0.00,0.20,9.08,6.48,15.03,9.42,10.22,11.29,0.40,17.43,2.87,2.14,0.27,1.87,1.40,1.40,0.87,0.53,0.00,0.20,0.33,7.68,0.13,0.00,0.00,0.13,9.22,2.20,2.07,2.87,1.27,0.27,1.80,3.47,1.14,1.60,0.07,0.00,0.00,0.00,0.00,0.00,8.68,4.94,1.20,1.34,1.60,0.00,1.54,11.62,2.74,11.89,3.14,5.68,3.21,0.60,0.07,0.00,0.13,0.00,0.00,0.33,0.00,0.07,0.13,0.00,0.00,3.61,0.00,0.00,0.13,0.00,0.00,0.00,0.13,0.00,3.07,0.00,0.27
20140125.Preparation of esters via Fischer esterification _ Organic chemistry _ Khan Academy.ynBuPEmcjp4.en.txt,1,1793,35.93,96.82,29.63,27.63,1793.00,10.82,83.32,56.33,16.90,9.54,0.39,7.75,1.28,0.00,0.11,7.36,6.13,12.88,7.81,9.31,10.99,0.00,16.06,2.62,1.78,0.78,2.96,3.18,2.90,1.51,1.39,0.00,0.22,1.17,10.76,0.00,0.00,0.00,0.00,6.19,1.00,2.29,1.23,1.00,0.95,0.84,2.68,1.78,0.28,0.06,1.17,0.00,0.61,0.00,1.17,12.27,8.76,1.34,1.39,0.95,0.33,1.12,13.16,2.51,16.79,3.79,9.48,3.51,0.56,0.73,0.11,0.06,0.00,0.00,1.62,0.00,0.61,0.89,0.11,0.00,3.68,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,3.46,0.00,0.11
20100827.Sn2 Stereochemistry.QxIUeYAQRy0.en.txt,1,1866,27.26,80.88,25.46,41.26,1866.00,13.13,83.28,61.09,19.35,7.29,1.23,3.59,2.36,0.11,0.00,12.06,8.15,11.25,12.38,7.29,8.79,1.02,19.45,2.68,2.25,1.13,3.38,1.66,2.04,1.45,0.59,0.00,0.38,0.21,8.25,0.05,0.38,0.05,0.48,9.11,0.86,1.77,1.66,2.09,0.91,3.22,1.82,1.39,0.38,0.00,0.32,0.11,0.21,0.00,0.16,6.59,4.18,0.54,1.39,0.64,0.11,1.55,14.04,3.27,13.50,3.70,6.48,4.13,0.48,0.54,0.05,0.16,0.00,0.00,0.80,0.00,0.43,0.05,0.32,0.00,4.93,0.00,0.00,0.11,0.00,0.00,0.00,0.21,0.00,4.61,0.00,0.00
20150425.Stabilization of a conjugate base - hybridization _ Organic chemistry _ Khan Academy.kl8nvKKGvOg.en.txt,1,941,76.26,77.79,15.79,66.02,941.00,23.06,70.78,52.18,11.90,4.78,0.32,4.04,0.43,0.00,0.00,7.12,11.05,13.39,7.86,7.01,8.61,0.00,13.60,5.10,4.25,0.43,1.91,1.91,3.61,2.87,0.74,0.00,0.00,0.64,5.21,0.00,0.00,0.00,0.00,7.23,2.34,1.17,1.28,2.55,0.85,1.70,1.59,0.74,0.21,0.00,0.00,0.00,0.00,0.00,0.00,6.48,4.04,0.64,1.49,0.53,0.00,1.17,12.01,0.64,11.90,2.34,8.29,1.28,0.11,0.11,0.00,0.43,0.00,0.00,1.38,0.00,1.17,0.11,0.11,0.00,3.93,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00,2.66,0.00,1.06
20141102.Hydroboration-oxidation - Mechanism _ Alkenes and Alkynes _ Organic chemistry _ Khan Academy.00qYQahwuSQ.en.txt,1,1966,56.19,86.41,26.84,24.96,1966.00,13.94,79.70,57.07,13.78,6.97,1.12,5.29,0.56,0.00,0.00,6.82,9.92,12.41,8.14,9.00,9.72,0.46,13.63,3.36,1.48,0.97,2.09,3.46,3.20,1.58,1.63,0.00,0.46,0.56,7.58,0.00,0.05,0.00,0.05,6.31,0.86,1.93,1.02,1.02,1.07,0.86,1.63,1.37,0.20,0.05,0.51,0.00,0.36,0.00,0.31,9.61,6.36,0.76,0.81,1.58,0.20,1.22,10.38,2.24,15.46,3.05,9.26,3.10,0.46,0.36,0.00,0.05,0.00,0.05,1.12,0.00,0.46,0.46,0.20,0.00,2.54,0.00,0.00,0.10,0.00,0.00,0.00,0.05,0.00,2.39,0.00,0.00
"20090911.Exponential decay formula proof (can skip, involves calculus) _ Chemistry _ Khan Academy.H7nrVDV8ahc.en.txt",1,2180,49.70,87.99,33.21,30.41,2180.00,9.82,83.17,57.84,16.51,9.77,1.74,5.55,2.43,0.00,0.05,6.74,5.96,15.78,9.72,7.29,8.49,0.78,17.29,4.59,3.30,2.02,7.16,4.91,1.47,0.87,0.60,0.00,0.00,0.18,9.59,0.00,0.00,0.00,0.00,8.99,1.51,1.51,2.06,3.21,0.64,3.30,2.06,1.01,1.06,0.00,0.69,0.00,0.60,0.00,0.05,9.36,5.55,0.78,1.51,1.42,0.32,1.42,14.77,1.42,13.90,1.15,6.06,6.70,0.55,0.37,0.00,0.00,0.00,0.00,0.37,0.00,0.00,0.00,0.37,0.00,5.92,0.00,0.41,0.09,0.00,0.00,0.00,1.06,0.00,3.99,0.00,0.37
20150329.Organic acid-base mechanisms _ Resonance and acid-base chemistry _ Organic chemistry _ Khan Academy.jIL333CKE9A.en.txt,1,952,42.39,85.57,18.64,18.06,952.00,13.55,76.89,55.15,15.02,8.19,1.37,4.20,1.79,0.00,0.84,6.83,8.51,11.45,10.29,8.19,9.35,0.74,17.86,1.79,1.16,1.26,1.58,1.05,2.00,0.74,1.26,0.00,0.00,0.84,7.98,0.00,0.00,0.00,0.00,6.20,0.84,1.68,2.10,0.74,0.53,1.26,5.04,1.58,0.42,0.11,0.63,0.00,0.00,0.00,0.63,7.56,4.31,0.53,1.26,1.47,0.00,2.52,11.76,1.79,14.29,2.31,10.29,1.68,0.84,0.00,0.00,0.11,0.00,0.00,0.42,0.00,0.21,0.11,0.11,0.00,6.20,0.00,0.00,0.21,0.00,0.00,0.00,2.42,0.00,3.47,0.00,0.11
20120622.E2 Elimination - regioselectivity.WLIwMlIdIxQ.en.txt,1,1403,33.25,87.59,5.11,46.81,1403.00,14.47,77.41,56.74,15.25,8.05,1.14,4.92,1.92,0.00,0.07,7.20,8.48,9.91,9.62,8.84,11.33,0.36,17.61,2.64,2.28,0.93,3.64,2.14,1.57,1.35,0.21,0.14,0.00,0.07,8.62,0.00,0.07,0.00,0.07,10.12,0.50,3.49,2.78,3.28,0.57,2.42,2.42,2.14,0.21,0.07,0.14,0.00,0.14,0.00,0.07,8.84,5.49,1.07,1.21,0.93,0.29,1.00,13.19,3.35,9.91,1.64,5.77,2.49,1.85,0.14,0.07,0.00,0.07,0.14,1.07,0.00,0.14,0.78,0.14,0.00,3.99,0.00,0.00,0.14,0.00,0.00,0.00,0.71,0.00,3.14,0.00,0.00
