Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
20160729.Wave interference _ Mechanical waves and sound _ Physics _ Khan Academy.lpee2Qddqjo.en.txt,1,1738,48.87,67.93,58.72,66.09,1738.00,7.88,89.13,57.08,13.92,4.66,1.04,1.84,1.27,0.00,0.52,9.26,8.23,13.00,11.10,7.94,8.46,1.15,19.62,4.83,3.05,1.84,5.81,3.11,2.82,2.47,0.35,0.06,0.06,0.00,6.85,0.00,0.00,0.00,0.00,9.84,1.38,1.27,2.19,2.13,1.78,3.11,4.03,2.93,0.75,0.35,0.46,0.46,0.00,0.00,0.00,7.83,2.42,0.35,2.24,2.76,0.12,1.55,15.25,2.59,18.99,7.08,9.15,2.88,0.17,0.17,0.00,0.00,0.00,0.00,0.81,0.00,0.29,0.17,0.35,0.00,5.06,0.00,0.00,0.12,0.00,0.00,0.00,0.06,0.00,4.49,0.00,0.40
20160729.Mass swinging in a horizontal circle _ Centripetal force and gravitation _ Physics _ Khan Academy.0cDmgCcX_nU.en.txt,1,2736,54.19,65.63,48.65,9.56,2736.00,13.89,84.28,56.91,16.05,6.91,2.05,3.18,1.64,0.00,0.04,9.14,9.03,12.46,10.49,6.40,6.40,1.64,18.46,2.27,1.46,1.46,2.92,1.86,2.89,0.77,2.08,1.43,0.07,0.00,6.25,0.00,0.00,0.00,0.00,13.16,2.63,4.68,2.16,1.90,0.91,3.33,1.90,1.35,0.44,0.11,0.04,0.04,0.00,0.00,0.00,9.10,3.18,1.13,3.22,0.99,0.58,1.43,14.51,2.34,14.95,2.08,10.23,2.63,0.37,0.33,0.00,0.07,0.00,0.00,0.66,0.04,0.29,0.15,0.11,0.04,4.71,0.00,0.00,0.07,0.00,0.00,0.00,0.22,0.00,4.39,0.00,0.04
20160729.Electric power _ Circuits _ Physics _ Khan Academy.3zt7DWUiaDE.en.txt,1,2187,45.72,61.00,44.47,88.52,2187.00,18.75,84.68,56.20,16.46,6.45,1.74,1.37,1.83,0.00,1.51,10.01,7.09,13.12,9.65,7.32,8.46,0.78,16.37,3.52,2.70,1.97,1.46,2.06,4.80,4.25,0.55,0.05,0.00,0.46,5.72,0.00,0.00,0.00,0.00,12.85,1.87,2.42,1.28,4.44,1.33,3.61,1.01,0.37,0.37,0.27,0.18,0.05,0.00,0.00,0.14,10.97,1.37,3.20,4.94,1.46,0.50,1.69,13.49,4.25,14.22,3.43,6.63,4.07,0.46,0.27,0.05,0.05,0.00,0.00,0.91,0.00,0.69,0.00,0.23,0.00,3.89,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,3.80,0.00,0.00
20160729.How to use the shortcut for solving elastic collisions _ Physics _ Khan Academy.okFcjFD5umU.en.txt,1,2131,53.14,57.63,49.21,39.17,2131.00,14.41,86.25,53.40,15.67,6.76,2.82,2.35,1.36,0.00,0.23,8.92,7.65,12.11,9.57,5.63,7.18,1.55,16.05,6.38,2.53,1.41,6.48,2.67,2.06,1.41,0.66,0.23,0.09,0.05,4.93,0.00,0.00,0.05,0.00,8.96,1.83,2.11,1.83,1.78,0.94,2.35,1.03,0.52,0.14,0.38,0.70,0.28,0.00,0.00,0.38,6.85,2.44,0.70,0.52,2.77,0.47,2.06,11.92,2.16,15.72,1.60,6.85,7.60,0.28,4.65,0.00,0.00,0.00,0.00,0.47,0.00,0.14,0.00,0.33,0.00,3.94,0.00,0.00,0.09,0.00,0.00,0.00,0.28,0.00,3.57,0.00,0.00
20160801.Finding torque for angled forces _ Physics _ Khan Academy.ZQnGh-t25tI.en.txt,1,2581,49.64,64.66,26.34,25.77,2581.00,11.24,81.64,58.97,16.27,6.32,1.78,1.98,2.25,0.00,0.31,9.96,9.22,12.51,11.24,6.63,7.56,1.12,19.37,1.98,1.43,2.09,3.22,1.51,1.43,0.70,0.70,0.15,0.15,0.04,5.66,0.00,0.00,0.00,0.00,13.44,2.79,4.07,2.63,2.21,1.08,3.18,1.24,0.46,0.50,0.12,0.43,0.35,0.00,0.04,0.04,6.78,2.01,0.74,2.44,1.24,0.35,2.29,14.41,1.70,12.09,2.44,7.25,2.32,0.39,0.12,0.54,0.04,0.00,0.00,2.13,0.04,1.78,0.08,0.23,0.00,4.07,0.00,0.00,0.08,0.00,0.00,0.00,0.12,0.00,3.87,0.00,0.00
20160729.Kinetic molecular theory of gases _ Physics _ Khan Academy.UMXSNjjUVt4.en.txt,1,2844,56.97,43.29,37.52,64.43,2844.00,14.52,81.75,55.34,14.52,6.01,3.73,1.09,0.88,0.00,0.32,8.51,8.86,12.59,9.81,7.38,7.49,0.74,16.32,4.15,2.25,1.55,2.04,4.96,3.66,2.85,0.81,0.70,0.00,0.07,3.69,0.04,0.00,0.04,0.00,11.67,1.65,2.00,2.85,2.78,2.07,2.88,1.13,0.56,0.35,0.21,0.18,0.07,0.07,0.00,0.04,6.19,1.37,0.70,2.00,2.22,0.00,1.76,12.52,1.79,13.68,1.93,8.37,3.55,0.35,0.18,0.04,0.00,0.04,0.00,0.70,0.00,0.14,0.28,0.39,0.00,4.11,0.00,0.00,0.07,0.00,0.00,0.00,0.25,0.00,3.76,0.00,0.04
"20160729.Angular motion variables _ Moments, torque, and angular momentum _ Physics _ Khan Academy.garegCgMxxg.en.txt",1,2423,62.45,67.94,33.28,57.77,2423.00,21.38,81.26,54.35,12.51,3.92,0.25,2.15,1.36,0.00,0.17,8.58,9.57,12.05,10.77,5.74,8.42,0.70,17.21,3.96,2.35,2.02,3.38,2.27,2.19,1.94,0.25,0.04,0.04,0.00,5.24,0.00,0.00,0.00,0.00,11.39,1.69,2.31,2.97,3.05,1.36,3.14,1.28,0.87,0.33,0.08,0.04,0.04,0.00,0.00,0.00,5.08,2.27,0.29,1.65,0.70,0.17,1.98,11.89,1.77,16.30,4.58,7.55,4.37,0.17,1.49,0.00,0.04,0.00,0.00,0.37,0.00,0.00,0.04,0.33,0.00,3.51,0.00,0.00,0.08,0.00,0.00,0.00,0.12,0.00,3.30,0.00,0.00
20160729.Constructive and Destructive interference _ Physics _ Khan Academy.oTjTXS40pqs.en.txt,1,2787,37.99,69.87,62.83,24.07,2787.00,16.97,84.86,52.85,16.76,7.28,1.54,2.80,1.76,0.00,1.18,9.47,4.81,11.80,8.50,6.82,8.75,1.00,18.95,5.17,2.62,2.15,6.03,2.55,3.05,1.47,1.58,0.00,1.47,0.00,7.79,0.00,0.00,0.00,0.00,12.52,1.15,3.59,1.79,3.01,1.44,4.59,2.26,0.83,1.33,0.11,0.22,0.18,0.00,0.00,0.04,7.79,2.80,0.86,1.54,3.16,0.00,2.44,14.14,1.40,17.47,6.82,7.82,3.95,0.47,0.65,0.00,0.00,0.00,0.00,0.68,0.00,0.39,0.14,0.18,0.00,3.59,0.00,0.00,0.07,0.00,0.00,0.00,0.07,0.00,3.37,0.00,0.07
20160729.The equation of a wave _ Physics _ Khan Academy.9WZM68aVnGk.en.txt,1,3237,39.81,62.15,63.15,45.64,3237.00,9.67,86.59,59.44,17.30,7.45,2.59,2.59,2.19,0.00,0.06,9.85,7.78,12.82,10.38,7.11,8.65,1.73,19.80,3.89,3.46,1.70,3.46,2.66,1.76,1.42,0.34,0.03,0.06,0.09,6.61,0.00,0.03,0.00,0.03,11.52,1.05,1.51,3.74,3.18,1.14,3.95,1.54,0.90,0.56,0.09,0.65,0.12,0.00,0.03,0.53,5.75,2.69,0.37,0.93,1.70,0.12,2.07,14.18,1.88,19.15,4.66,9.70,4.91,0.40,0.34,0.00,0.03,0.00,0.00,0.68,0.03,0.06,0.22,0.34,0.00,3.92,0.00,0.00,0.06,0.00,0.00,0.00,0.06,0.00,3.80,0.00,0.00
20160729.More on Newton's second law _ Physics _ Khan Academy.24vtg9Ehr0Q.en.txt,1,3129,44.43,64.35,33.86,47.01,3129.00,13.52,83.48,58.58,16.84,7.16,2.17,3.10,1.34,0.00,0.54,9.68,8.31,12.53,10.16,6.94,8.02,1.79,16.84,3.07,2.30,1.60,3.58,3.45,2.11,1.63,0.48,0.10,0.10,0.06,6.81,0.16,0.00,0.16,0.00,14.09,1.92,4.79,2.21,2.62,1.44,3.61,1.09,0.29,0.67,0.13,0.13,0.13,0.00,0.00,0.00,11.22,3.13,0.29,5.18,2.52,0.22,1.44,14.57,1.66,13.01,1.57,9.62,1.73,0.64,0.06,0.03,0.03,0.00,0.00,0.58,0.00,0.03,0.13,0.42,0.00,5.91,0.00,0.00,0.06,0.03,0.00,0.00,0.83,0.00,4.95,0.00,0.03
