Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
20210218.Why Robots That Bend Are Better.058hRtaCWC0.en.txt,1,1836,45.45,68.60,39.41,62.94,1836.00,15.25,85.35,56.86,15.85,6.86,1.91,1.20,2.07,0.05,1.63,8.93,7.19,13.02,10.13,7.03,8.55,1.20,15.63,4.79,2.02,1.69,1.20,2.02,3.49,2.72,0.76,0.44,0.05,0.05,7.63,0.05,0.11,0.00,0.16,14.27,2.40,3.54,1.96,3.38,1.80,2.94,3.00,1.20,0.16,1.53,0.93,0.54,0.22,0.00,0.11,6.75,1.69,1.31,2.78,0.87,0.44,1.96,13.24,0.98,14.16,3.00,8.99,2.18,0.93,0.87,0.00,0.33,0.00,0.00,1.63,0.00,0.22,0.93,0.54,0.00,3.49,0.05,0.00,0.11,0.00,0.00,0.00,0.05,0.00,3.16,0.00,0.11
20170821.Total Solar Eclipse (2017).G10m2ZZRH4U.en.txt,1,360,55.85,53.33,63.41,77.00,360.00,14.44,87.78,52.78,17.22,9.44,6.39,1.11,1.94,0.00,0.00,7.78,8.89,10.28,10.00,5.83,4.17,0.83,19.17,2.22,1.67,0.83,1.39,3.06,2.78,2.78,0.00,0.00,0.00,0.00,5.83,0.00,0.56,0.00,0.56,9.17,1.94,1.39,1.67,1.11,2.22,0.83,5.83,2.22,1.67,1.94,0.56,0.28,0.00,0.00,0.00,6.11,1.67,0.83,2.78,1.67,0.00,1.67,15.00,1.94,15.56,2.78,8.61,4.44,0.00,1.39,0.00,0.56,0.56,0.00,1.94,0.00,0.00,0.56,1.39,0.00,8.06,0.00,0.00,0.56,0.00,0.00,0.00,0.00,0.00,3.61,0.00,3.89
20110822.What Is Chemistry.CRSDxGtcsxE.en.txt,1,177,37.46,94.93,16.91,90.77,177.00,23.73,86.44,58.19,19.77,10.73,2.26,1.13,5.65,0.00,1.69,9.04,4.52,15.25,9.04,7.34,6.21,2.82,16.95,2.26,3.39,2.26,0.56,1.69,3.95,3.95,0.00,0.00,0.00,0.00,16.95,0.00,1.13,1.13,1.69,13.56,5.08,2.26,2.26,1.69,0.00,2.26,1.69,0.00,0.56,1.13,2.26,0.56,0.00,0.00,0.00,4.52,4.52,0.00,0.00,0.00,0.00,0.56,16.38,0.56,7.91,0.00,5.08,2.82,2.82,0.00,0.00,0.00,0.00,0.00,2.26,0.00,0.00,1.13,1.13,0.00,5.08,0.00,0.00,1.13,0.00,0.00,0.00,0.00,0.00,3.95,0.00,0.00
20110820.Ice Cutting Experiment.qQCVnjGUv24.en.txt,1,340,66.46,51.18,58.90,53.41,340.00,18.53,80.00,54.12,13.24,5.88,2.35,1.47,1.18,0.00,0.88,7.35,10.29,12.06,8.82,6.47,8.53,0.29,16.18,5.00,4.12,1.47,1.76,2.65,3.24,2.35,0.88,0.29,0.00,0.29,4.12,0.00,0.00,0.00,0.00,11.47,1.47,2.94,0.59,2.06,1.18,3.82,2.06,0.88,0.00,1.18,1.18,0.00,0.59,0.00,0.59,5.88,1.76,2.06,2.35,1.18,0.29,3.24,11.18,0.88,15.29,4.41,7.35,4.12,1.18,1.76,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.29,0.00,3.53,0.00,0.00,0.59,0.00,0.00,0.00,0.00,0.00,2.94,0.00,0.00
20120114.Koala Encounters.m8IGMFr62-Q.en.txt,1,219,14.74,50.00,27.16,88.03,219.00,8.68,90.41,57.99,18.26,8.68,2.74,0.00,1.83,2.28,1.83,9.59,6.85,10.05,15.53,7.31,7.31,4.11,21.92,6.39,3.20,0.91,2.28,2.28,6.39,5.02,1.37,0.00,0.46,0.00,8.22,0.46,0.46,0.00,2.74,10.05,1.83,1.37,0.46,2.74,1.37,2.74,3.20,1.37,1.37,0.46,5.94,1.37,2.74,0.00,2.74,5.02,0.46,1.83,0.91,1.83,0.91,1.37,20.09,0.00,12.79,2.74,4.57,5.48,0.46,1.37,0.00,0.46,0.00,0.46,2.28,0.46,0.00,0.91,0.91,0.00,10.96,0.00,0.00,0.91,0.00,0.00,0.00,0.00,0.00,8.22,0.00,1.83
20110218.What Forces Are Acting On You.aJc4DEkSq4I.en.txt,1,372,77.84,64.68,77.52,56.22,372.00,14.25,88.98,57.80,15.59,7.53,3.76,0.81,2.96,0.00,0.00,8.06,12.37,13.98,8.06,6.72,5.91,0.27,12.37,2.96,1.34,0.81,0.27,2.42,2.15,1.88,0.27,0.00,0.00,0.00,5.65,0.00,0.00,0.00,0.00,15.59,2.42,7.80,1.08,2.69,1.34,1.61,0.27,0.27,0.00,0.00,1.08,0.81,0.27,0.00,0.00,9.68,0.81,0.81,8.06,0.00,0.00,0.54,10.22,0.00,18.82,3.49,13.17,2.96,0.27,0.27,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.69,0.00,0.00,0.54,0.00,0.00,0.00,0.00,0.00,2.15,0.00,0.00
20200818.Is Dust Mostly Dead Skin.jn5M48MVWyg.en.txt,1,2481,78.22,61.12,36.07,47.38,2481.00,17.90,81.22,49.09,10.80,4.92,1.45,1.13,1.69,0.00,0.64,5.88,7.82,14.03,7.54,6.09,6.61,0.85,12.41,5.28,2.78,2.02,3.67,3.63,2.14,1.65,0.48,0.00,0.12,0.12,5.44,0.04,0.00,0.00,0.00,13.95,3.43,2.46,1.29,3.18,2.26,3.10,4.59,1.69,0.36,2.46,3.47,2.66,0.28,0.00,0.44,4.88,1.29,0.81,2.02,0.85,0.24,1.98,9.59,0.56,12.17,0.77,7.94,3.63,2.14,0.89,1.21,0.16,0.00,1.33,0.64,0.04,0.08,0.08,0.36,0.08,1.65,0.00,0.00,0.08,0.00,0.00,0.00,0.04,0.00,1.37,0.00,0.16
20120924.Making SOLID Nitrogen!.rM04U5BO3Ug.en.txt,1,515,75.56,63.67,33.52,35.97,515.00,19.61,79.42,49.32,11.65,6.02,1.17,2.91,1.36,0.39,0.19,5.63,10.10,11.46,7.38,6.60,5.05,2.14,13.20,3.88,1.94,0.97,1.55,1.75,5.24,2.91,2.33,1.55,0.78,0.00,6.02,0.19,0.00,0.00,0.58,9.32,1.55,1.17,1.17,2.52,1.36,3.11,2.52,0.97,0.39,1.17,4.08,0.00,0.00,0.00,2.72,6.41,3.11,0.78,1.55,0.78,0.39,1.55,10.68,1.55,14.17,3.11,8.93,2.91,0.58,0.39,0.78,0.00,0.00,0.00,5.44,0.39,0.97,2.33,1.36,0.19,3.69,0.00,0.00,0.39,0.00,0.00,0.00,0.39,0.00,2.91,0.00,0.00
20170412.4 Revolutionary Riddles.HgCXdNhVC1Q.en.txt,1,758,35.93,67.31,82.68,80.70,758.00,15.04,87.34,57.52,17.81,10.16,3.96,0.53,5.28,0.00,0.40,7.65,6.60,11.61,10.55,5.41,9.10,1.32,18.47,3.30,2.37,1.85,2.77,3.03,3.30,3.17,0.13,0.00,0.13,0.00,7.92,0.00,0.00,0.00,0.00,12.53,2.24,1.58,2.11,5.01,1.32,3.96,1.32,1.06,0.26,0.00,0.40,0.13,0.00,0.00,0.26,4.22,0.53,0.79,1.98,0.66,0.26,0.40,14.38,3.30,18.60,7.78,8.44,5.67,0.53,1.06,0.00,0.00,0.00,0.00,0.92,0.00,0.66,0.13,0.13,0.00,2.77,0.13,0.00,0.26,0.00,0.00,0.00,0.00,0.00,2.37,0.00,0.00
20141023.Sparks from Falling Water - Kelvin's Thunderstorm.rv4MjaF_wow.en.txt,1,654,39.23,62.03,51.69,81.03,654.00,16.51,86.24,57.49,14.68,5.50,1.68,1.68,1.68,0.00,0.46,9.17,7.03,11.62,9.94,9.33,7.95,1.53,17.28,3.52,1.22,2.14,2.45,2.91,3.98,3.52,0.46,0.00,0.00,0.00,6.27,0.00,0.15,0.00,0.15,12.69,2.60,2.14,1.99,2.60,1.83,3.36,1.38,0.76,0.61,0.00,1.53,0.00,0.15,0.00,1.38,7.03,1.83,0.61,2.45,2.29,0.15,1.83,14.83,1.38,15.60,2.75,8.41,4.43,0.46,0.31,0.31,0.00,0.46,0.00,0.76,0.00,0.15,0.15,0.46,0.00,3.21,0.00,0.00,0.31,0.00,0.00,0.00,0.15,0.00,2.75,0.00,0.00
