Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
20171213.I built an acoustic LEVITATOR! Making liquid float on air.ABjRnSYw-4k.en.txt,1,1712,49.44,76.38,40.57,62.33,1712.00,18.63,85.16,56.48,16.41,8.29,2.16,1.64,3.10,0.06,1.34,8.12,7.36,12.73,10.75,5.67,7.13,1.29,17.35,3.56,1.81,1.46,1.75,2.28,3.56,2.69,0.76,0.23,0.12,0.06,9.81,0.18,0.06,0.06,0.12,13.20,2.10,2.28,1.99,3.15,1.58,3.91,2.51,0.93,0.99,0.41,0.47,0.18,0.06,0.00,0.23,6.66,2.34,2.10,1.17,1.46,0.29,2.22,13.84,1.23,13.43,3.15,8.06,2.51,2.39,1.05,0.70,0.00,0.06,0.00,1.23,0.00,0.41,0.58,0.18,0.00,3.68,0.12,0.06,0.12,0.00,0.00,0.00,0.12,0.00,3.04,0.00,0.23
"20190606.Experiments with $100,000+ Speakers.wqH1F96OBWo.en.txt",1,1376,60.31,60.89,40.45,53.07,1376.00,16.06,84.59,54.87,15.19,7.70,2.91,1.31,2.69,0.00,0.80,7.49,8.14,13.88,9.23,6.25,6.83,1.82,17.01,3.56,2.40,2.11,2.25,1.96,3.63,2.54,1.09,0.22,0.15,0.36,6.90,0.00,0.22,0.22,0.15,11.63,2.69,1.82,1.67,2.25,1.09,3.42,6.90,1.74,3.85,1.16,2.11,1.45,0.22,0.00,0.36,5.52,1.53,1.60,1.89,0.80,0.29,3.78,11.12,1.67,12.21,2.62,7.27,2.54,1.31,2.11,0.29,0.00,0.00,0.00,1.31,0.00,0.65,0.36,0.15,0.07,3.63,0.00,0.00,0.15,0.00,0.00,0.00,0.07,0.00,3.12,0.00,0.29
20201112.Work and Energy - Physics 101 _ AP Physics 1 Review with Dianna Cowern.rKwK06stPS8.en.txt,1,4479,48.36,66.67,53.48,80.11,1119.75,13.80,84.66,53.74,14.85,8.15,2.97,2.61,1.41,0.78,0.38,6.68,7.48,11.99,8.55,7.86,8.91,0.83,15.78,3.64,2.32,1.76,2.99,2.21,5.18,4.09,1.09,0.13,0.09,0.22,6.72,0.00,0.09,0.65,0.18,12.21,2.28,3.33,1.59,2.79,1.14,2.63,1.54,0.78,0.38,0.22,0.27,0.13,0.00,0.00,0.09,9.69,2.92,2.59,2.34,1.27,0.80,2.32,13.46,2.05,16.01,3.66,8.19,4.51,2.66,0.51,0.00,0.09,0.04,0.00,0.65,0.00,0.16,0.22,0.25,0.00,3.80,0.07,0.00,0.04,0.00,0.00,0.00,0.04,0.00,3.55,0.00,0.09
20180418.Are machines better at quantum physics than humans.2cXHwkQqgU8.en.txt,1,1463,41.79,79.59,35.66,62.07,1463.00,19.34,84.62,56.05,18.73,9.98,2.39,1.50,4.03,0.21,1.85,8.75,6.15,12.85,8.89,5.67,8.41,1.16,16.47,4.03,1.78,1.85,0.82,2.39,4.51,3.21,1.30,0.00,0.21,0.34,10.12,0.00,0.07,0.14,0.34,13.74,3.42,2.19,2.53,3.14,1.09,3.83,3.28,2.39,0.48,0.41,1.16,0.48,0.14,0.07,0.21,6.36,2.12,1.03,1.57,1.50,0.68,1.78,12.78,1.50,11.89,1.57,7.11,2.94,2.94,1.64,0.48,0.07,0.00,0.62,2.26,0.00,0.27,1.64,0.27,0.00,4.31,0.00,0.00,0.14,0.00,0.00,0.00,0.34,0.00,3.55,0.00,0.27
20160524.How SMOOTHNESS of a  SOCCER BALL affects curve!.akjQbPKKD7I.en.txt,1,1174,80.43,69.54,53.67,54.64,1174.00,14.74,85.09,53.49,11.58,4.34,0.85,1.28,1.87,0.26,0.09,7.24,11.58,14.14,8.09,7.24,7.67,0.09,15.84,4.94,2.90,1.70,0.60,1.53,2.90,2.21,0.68,0.09,0.09,0.09,4.77,0.09,0.09,0.00,0.34,8.77,2.81,2.81,0.68,2.04,1.19,1.70,1.79,1.11,0.09,0.51,0.43,0.09,0.09,0.09,0.17,5.71,1.70,1.19,2.04,1.28,0.26,2.64,11.75,1.87,17.12,4.43,10.39,2.73,1.28,4.68,0.00,0.09,0.00,0.00,0.85,0.17,0.09,0.60,0.09,0.00,2.98,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,2.81,0.00,0.00
20180721.SUNSCREEN in UV.GRD-xvlhGMc.en.txt,1,2221,54.77,58.37,44.81,48.31,2221.00,17.42,84.60,55.29,16.21,7.20,2.93,0.95,2.16,0.09,1.08,9.00,6.89,13.82,9.37,6.48,6.98,0.95,17.51,4.64,3.83,2.30,1.76,2.48,3.20,2.21,0.99,0.09,0.05,0.14,6.84,0.00,0.18,0.14,0.32,14.14,3.96,2.66,1.22,2.57,0.86,3.96,5.27,3.60,0.77,0.86,1.98,0.90,1.04,0.05,0.05,4.91,1.04,0.72,1.71,1.13,0.72,3.20,12.34,0.77,10.67,1.35,5.99,3.42,1.58,1.04,0.18,0.14,0.05,0.00,1.98,0.00,0.36,0.99,0.41,0.14,4.01,0.09,0.00,0.09,0.00,0.00,0.00,0.14,0.00,3.33,0.00,0.36
20150818.How to Make a Hurricane on a Bubble.nXDKCm2dfMs.en.txt,1,590,79.68,65.18,41.19,73.27,590.00,21.53,78.47,52.88,10.68,5.08,1.02,0.85,2.03,0.00,1.19,5.59,9.83,14.92,5.59,7.97,8.81,1.02,12.37,6.61,3.56,1.86,1.69,1.02,4.24,3.39,0.85,0.00,0.17,0.17,5.42,0.00,0.00,0.00,0.00,10.00,1.19,3.39,1.02,2.20,0.68,2.37,1.36,0.34,0.17,0.85,1.19,0.00,0.17,0.00,0.85,5.08,1.19,1.36,1.69,1.19,0.51,2.03,8.47,1.69,16.10,2.71,9.66,4.07,2.20,1.02,0.34,0.17,0.00,0.34,0.68,0.00,0.17,0.17,0.34,0.00,2.88,0.00,0.00,0.34,0.00,0.00,0.00,0.00,0.00,2.54,0.00,0.00
20140923.Cosmic Inflation with Alan Guth _ EXPERT ANSWERS PHYSICS GIRL QUESTIONS.Vn985KyDpb8.en.txt,1,597,52.91,28.45,54.05,72.78,298.50,19.93,89.61,59.13,16.08,7.87,6.03,0.17,0.00,1.17,0.50,8.21,7.04,15.41,9.72,8.38,6.70,1.51,17.59,5.86,3.52,1.51,2.18,2.18,4.36,3.35,0.84,0.17,0.34,0.17,5.70,0.00,0.00,0.00,1.17,17.42,4.69,2.18,2.01,4.86,1.34,4.02,2.35,0.84,0.50,0.84,0.17,0.00,0.17,0.00,0.00,7.54,0.67,2.18,3.18,2.51,0.17,3.69,11.06,0.67,10.05,1.17,3.85,5.03,3.52,0.50,0.00,0.00,0.17,0.00,0.50,0.00,0.17,0.00,0.50,0.00,3.18,0.34,0.00,0.34,0.00,0.00,0.00,0.00,0.00,2.51,0.00,0.00
20200922.Newton's Laws of Motion - Physics 101 _ AP Physics 1 Review - Dianna Cowern.qgIm96-WkwY.en.txt,1,4052,58.22,68.30,60.56,34.33,1013.00,14.39,83.39,53.83,14.04,6.98,1.80,2.22,2.07,0.27,0.62,7.06,8.84,12.17,9.01,7.03,8.00,0.96,16.24,4.44,2.76,1.78,4.12,2.30,2.52,1.51,1.01,0.25,0.17,0.10,7.16,0.20,0.05,0.30,0.15,13.65,2.47,3.80,1.75,2.64,1.28,3.92,1.51,0.59,0.22,0.52,0.47,0.22,0.10,0.00,0.17,8.96,2.44,0.79,4.71,0.74,0.47,2.05,11.72,1.38,16.44,4.22,8.74,4.10,1.83,0.72,0.02,0.00,0.00,0.02,0.67,0.00,0.12,0.25,0.22,0.02,4.59,0.07,0.00,0.05,0.00,0.00,0.00,0.12,0.00,4.24,0.00,0.10
20160427.How science explains monster waves.8Zpi9V0_5tw.en.txt,1,1025,72.25,71.43,51.14,55.18,1025.00,17.95,80.39,47.02,10.83,4.59,0.20,0.68,2.44,0.00,1.27,6.24,5.95,14.05,7.12,5.85,7.61,1.27,13.66,7.90,4.00,1.46,3.32,3.80,3.12,2.34,0.78,0.10,0.00,0.10,6.73,0.00,0.00,0.29,0.00,12.49,3.02,2.24,1.66,2.63,1.66,2.73,2.15,0.88,0.59,0.39,0.78,0.20,0.10,0.00,0.49,4.88,1.07,0.78,1.37,1.46,0.39,2.34,9.37,1.07,16.88,3.12,8.68,4.88,1.76,0.49,0.10,0.10,0.00,0.10,0.59,0.00,0.00,0.10,0.49,0.00,2.63,0.20,0.00,0.20,0.00,0.00,0.00,0.20,0.00,2.05,0.00,0.00
