Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
"20150714.Saturated fats, unsaturated fats, and trans fats _ Biology _ Khan Academy.O9lL2KStW9s.en.txt",1,1802,19.33,77.14,18.13,37.55,1802.00,13.87,84.68,60.71,17.81,6.60,0.83,2.28,2.77,0.00,0.72,11.21,5.77,11.43,12.60,9.54,9.21,1.11,18.48,4.38,2.50,1.61,3.72,4.99,1.83,1.22,0.55,0.11,0.11,0.00,8.32,0.28,0.06,0.22,0.00,12.15,1.44,1.55,1.22,4.44,1.44,4.00,1.66,0.61,0.67,0.11,2.83,1.28,2.33,0.00,2.28,4.77,2.44,0.28,1.28,0.44,0.33,1.55,15.09,1.50,10.49,1.50,6.49,2.61,0.33,0.11,0.28,0.06,0.00,0.00,0.94,0.00,0.00,0.11,0.50,0.06,4.88,0.00,0.00,0.11,0.00,0.00,0.00,0.06,0.00,4.72,0.00,0.00
20090923.Variation in a Species.DuArVnT1i-E.en.txt,1,3602,27.91,59.10,37.91,35.98,3602.00,14.74,83.81,60.08,19.10,9.38,4.55,1.44,2.47,0.19,0.72,9.72,6.44,11.85,10.36,8.13,9.00,0.86,16.19,3.72,2.53,1.78,4.03,4.30,1.08,0.83,0.25,0.06,0.08,0.11,8.50,1.14,0.22,0.83,1.00,13.80,1.97,1.78,1.42,4.55,1.64,4.61,1.67,1.05,0.44,0.14,0.81,0.31,0.08,0.22,0.17,3.28,1.58,0.53,0.61,0.72,0.00,1.64,12.44,2.36,9.63,1.64,4.86,3.03,0.67,0.28,0.00,0.06,0.00,0.06,0.53,0.08,0.00,0.00,0.39,0.06,3.58,0.00,0.06,0.06,0.00,0.00,0.00,0.06,0.00,3.41,0.00,0.00
20100218.Role of phagocytes in innate or nonspecific immunity _ NCLEX-RN _ Khan Academy.O1N2rENXq_Y.en.txt,1,2812,23.23,74.37,33.15,13.30,2812.00,16.04,85.56,61.34,20.31,7.47,1.78,1.67,2.56,0.04,1.42,12.84,7.40,11.20,11.20,8.43,8.93,0.92,17.43,3.02,1.71,1.67,1.53,3.17,2.20,0.64,1.56,0.25,0.71,0.00,8.96,0.00,0.28,0.00,0.32,11.17,1.85,1.24,0.71,3.84,1.46,3.95,2.63,1.46,0.53,0.25,2.24,0.85,1.21,0.00,0.32,4.45,1.92,0.60,0.92,0.78,0.39,1.28,14.37,3.17,11.56,1.78,6.15,3.59,0.21,0.36,0.00,0.00,0.00,0.39,0.71,0.00,0.39,0.00,0.21,0.00,4.48,0.00,0.00,0.07,0.00,0.00,0.00,0.11,0.00,4.30,0.00,0.00
20150702.Surface tension _ States of matter and intermolecular forces _ Chemistry _ Khan Academy._RTF0DAHBBM.en.txt,1,938,51.07,76.57,52.86,51.72,938.00,17.16,89.13,60.77,16.31,6.82,0.43,0.64,3.73,0.00,2.03,9.49,8.74,13.11,11.09,6.08,8.00,0.96,17.91,3.62,2.77,0.96,0.21,3.84,3.30,2.35,0.96,0.96,0.00,0.11,9.28,0.00,0.11,0.00,0.00,12.69,0.64,1.49,1.92,3.94,1.81,5.01,2.77,1.60,0.96,0.32,2.56,0.11,0.11,0.00,2.35,4.69,0.85,0.85,2.03,0.96,0.11,2.03,12.15,2.77,17.27,2.24,12.58,2.45,0.32,0.11,0.11,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.21,0.00,3.73,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00,3.52,0.00,0.00
20100205.CAM Plants.xp6Zj24h8uA.en.txt,1,1549,28.91,63.64,52.89,22.76,1549.00,13.75,81.21,59.13,17.88,9.81,3.49,1.36,2.84,0.00,2.13,8.07,7.36,10.78,9.94,7.49,10.14,1.42,14.72,2.26,1.36,1.42,0.84,1.42,1.87,0.84,1.03,0.39,0.06,0.26,7.88,0.00,0.06,0.00,0.06,11.04,1.10,3.10,1.87,1.42,1.23,3.62,2.32,1.36,0.32,0.06,1.03,0.00,0.00,0.00,1.03,4.58,1.48,1.10,0.77,0.90,0.71,1.16,13.88,1.42,15.11,0.90,8.33,5.75,1.68,0.19,0.00,0.32,0.06,0.00,0.32,0.06,0.00,0.00,0.26,0.00,3.62,0.06,0.00,0.13,0.00,0.00,0.00,0.06,0.00,3.36,0.00,0.00
20150729.Overview of animal and plant cells _ Biology _ Khan Academy.24YMQ9GvLss.en.txt,1,1600,43.29,74.63,44.21,46.50,1600.00,15.56,80.69,58.44,16.75,7.38,1.12,3.44,1.19,0.00,1.62,9.38,6.75,13.00,9.00,8.00,8.69,0.62,15.56,4.06,2.25,1.88,0.25,3.44,1.38,1.25,0.12,0.00,0.00,0.12,8.38,0.00,0.12,0.00,0.00,10.62,1.50,1.06,0.75,2.31,1.69,4.62,2.94,2.50,0.19,0.12,0.25,0.19,0.06,0.00,0.12,6.44,3.81,0.50,2.00,0.56,0.00,1.12,14.25,1.31,13.62,1.50,9.81,2.12,1.06,0.25,0.12,0.44,0.00,0.00,0.38,0.00,0.06,0.00,0.19,0.00,2.75,0.00,0.00,0.12,0.00,0.00,0.00,0.19,0.00,2.44,0.00,0.00
"20090826.Ionic, covalent, and metallic bonds _ Chemical bonds _ Chemistry _ Khan Academy.CGA8sRwqIFg.en.txt",1,2421,17.27,84.13,9.98,73.58,2421.00,15.90,81.66,58.12,18.84,8.88,1.28,2.35,1.94,0.91,2.40,9.95,5.74,9.38,10.78,8.34,9.75,1.57,18.71,3.06,2.27,1.90,3.76,3.06,3.39,2.97,0.41,0.04,0.04,0.17,12.80,0.00,0.74,0.04,1.61,11.85,1.07,1.61,2.52,2.73,1.57,4.25,1.94,0.99,0.70,0.04,0.54,0.00,0.00,0.00,0.33,6.82,3.59,0.66,1.07,1.65,0.12,2.48,15.70,2.40,10.12,1.32,5.87,2.97,0.25,0.50,0.00,0.21,0.04,0.00,0.78,0.00,0.12,0.08,0.37,0.12,4.96,0.00,0.00,0.08,0.00,0.00,0.00,0.29,0.00,4.58,0.00,0.00
20100211.Sodium-potassium pump _ Cells _ MCAT _ Khan Academy.C_H-ONQFjpQ.en.txt,1,2537,44.24,67.47,64.18,68.90,2537.00,15.37,85.42,61.92,17.66,7.53,1.77,2.84,1.69,0.00,1.22,10.13,7.53,15.29,9.42,8.79,9.14,0.79,17.19,4.65,3.00,2.13,1.42,2.64,2.60,2.44,0.16,0.00,0.08,0.04,7.69,0.00,0.08,0.00,0.08,14.82,1.46,2.05,2.17,4.97,1.97,5.12,1.97,1.34,0.39,0.00,0.71,0.67,0.12,0.00,0.00,7.73,3.00,0.91,1.34,2.52,0.04,1.58,12.97,2.96,16.99,3.07,10.48,3.43,0.32,0.67,0.00,0.08,0.04,0.00,0.16,0.00,0.00,0.00,0.12,0.00,4.49,0.00,0.00,0.08,0.00,0.00,0.00,0.08,0.00,4.34,0.00,0.00
20100711.Correction to sodium-potassium pump video _ Health & Medicine _ Khan Academy.ye3rTjLCvAU.en.txt,1,1240,62.39,60.82,13.11,57.80,1240.00,16.94,82.26,59.52,15.97,6.05,1.77,1.61,1.45,0.73,0.48,9.84,10.08,14.60,8.79,7.02,7.98,1.45,15.32,3.79,2.58,1.69,3.06,2.58,2.02,1.85,0.16,0.16,0.00,0.00,6.21,0.00,0.08,0.00,0.81,12.42,1.61,3.15,2.26,2.98,1.77,3.31,1.85,0.81,0.97,0.00,0.08,0.00,0.08,0.00,0.00,6.05,1.61,1.37,1.29,1.94,0.00,1.69,11.13,2.10,10.56,2.34,6.45,1.77,1.13,1.21,0.00,0.00,0.00,0.00,0.56,0.00,0.32,0.32,0.24,0.00,4.03,0.00,0.00,0.16,0.00,0.00,0.00,0.16,0.00,3.63,0.00,0.08
20150717.Overview of protein structure _ Macromolecules _ Biology _ Khan Academy.MODnIkQvyz0.en.txt,1,1647,50.53,76.87,25.57,42.28,1647.00,19.19,76.38,56.65,15.97,6.38,1.09,2.73,1.28,0.00,1.28,9.59,8.20,12.51,10.38,8.08,6.62,0.43,16.03,2.25,1.76,1.58,1.52,2.79,1.15,1.03,0.12,0.00,0.00,0.06,8.26,0.00,0.06,0.00,0.00,9.65,1.21,0.97,1.58,2.55,0.67,3.40,1.82,0.85,0.49,0.00,0.30,0.06,0.12,0.00,0.06,6.80,3.83,0.55,1.88,0.67,0.00,0.97,12.81,2.13,12.93,2.67,7.71,2.31,0.12,0.18,0.00,0.06,0.00,0.00,0.24,0.00,0.06,0.00,0.18,0.00,3.40,0.00,0.00,0.12,0.00,0.00,0.00,0.18,0.00,3.10,0.00,0.00
20100202.Photosynthesis - Light Reactions 1.GR2GA7chA_c.en.txt,1,3352,39.92,68.33,45.46,57.93,3352.00,19.18,80.31,57.28,17.33,6.92,2.00,1.28,2.39,0.00,1.25,10.41,7.49,11.96,8.68,8.00,9.49,0.48,15.96,4.03,2.27,1.22,1.43,2.45,3.13,2.42,0.72,0.03,0.00,0.69,6.71,0.00,0.03,0.00,0.03,9.99,2.12,2.27,0.69,2.33,0.57,3.13,2.21,1.94,0.24,0.00,0.66,0.06,0.06,0.00,0.48,5.52,1.70,0.48,2.03,1.58,0.00,1.82,12.35,2.45,13.75,2.57,8.23,3.07,0.69,0.27,0.00,0.06,0.00,0.00,0.36,0.00,0.00,0.03,0.21,0.09,3.64,0.00,0.00,0.06,0.00,0.00,0.00,0.09,0.00,3.46,0.00,0.03
20091210.Overview of glycolysis _ Cellular respiration _ Biology _ Khan Academy.FE2jfTXAJHg.en.txt,1,2309,44.69,79.95,27.01,39.72,2309.00,14.64,82.24,56.56,16.63,8.53,2.17,2.69,2.82,0.00,0.87,8.10,6.97,12.60,9.18,7.06,9.18,0.35,16.76,2.34,1.69,1.08,4.59,2.64,1.13,0.95,0.17,0.00,0.00,0.13,8.58,0.00,0.13,0.30,0.13,9.96,1.21,2.86,1.21,2.12,0.61,3.16,2.47,1.69,0.39,0.00,0.30,0.09,0.04,0.04,0.13,6.58,3.16,0.69,1.21,1.78,0.00,2.69,12.99,2.47,12.00,2.04,6.06,4.11,3.25,0.22,0.04,1.13,0.00,0.00,0.43,0.00,0.17,0.04,0.13,0.04,4.98,0.00,0.00,0.09,0.00,0.00,0.00,0.52,0.00,4.29,0.00,0.09
20150729.Plant cell walls _ Structure of a cell _ Biology _ Khan Academy.zdvKhaQxvag.en.txt,1,1515,35.01,73.03,39.51,33.75,1515.00,14.92,83.96,61.25,19.14,7.72,1.91,2.11,3.10,0.00,0.59,11.42,9.17,11.88,11.55,7.26,8.78,0.66,16.44,3.43,2.64,2.11,0.46,2.77,1.91,1.19,0.73,0.66,0.00,0.00,7.66,0.00,0.07,0.00,0.00,10.96,0.99,1.25,1.39,3.30,1.91,4.16,3.04,2.05,0.40,0.59,0.86,0.13,0.13,0.00,0.59,5.28,2.31,0.59,1.58,0.73,0.13,1.45,13.99,1.19,13.73,1.39,10.43,2.05,0.73,0.20,0.20,0.00,0.00,0.00,0.59,0.00,0.00,0.13,0.40,0.07,3.96,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,3.83,0.00,0.00
20150801.Sodium potassium pump _ Membranes and transport _ Biology _ Khan Academy.vh166DKxYiM.en.txt,1,1303,68.31,68.28,54.27,85.05,1303.00,19.34,82.96,59.17,14.66,5.76,0.92,1.15,2.84,0.00,0.84,8.90,7.60,16.96,10.13,5.68,7.29,1.07,18.19,5.68,3.61,1.38,1.61,2.07,3.68,3.53,0.15,0.00,0.00,0.15,6.83,0.00,0.00,0.00,0.00,12.20,2.30,2.23,1.53,2.76,1.38,4.07,1.69,1.07,0.54,0.00,0.54,0.46,0.00,0.00,0.00,6.22,1.15,1.00,2.61,1.61,0.00,0.77,13.58,3.91,15.89,3.68,10.13,2.07,0.54,0.92,0.00,0.15,0.00,0.00,0.77,0.00,0.00,0.15,0.54,0.00,3.38,0.00,0.00,0.15,0.00,0.00,0.00,0.08,0.00,3.15,0.00,0.00
20150701.Liquid water denser than solid water (ice) _ Biology _ Khan Academy.Y3ATc9he254.en.txt,1,1033,24.54,73.22,30.32,54.94,1033.00,14.42,84.70,58.57,15.20,6.00,0.58,2.13,2.71,0.00,0.58,9.20,5.61,10.84,11.23,9.10,10.36,1.16,18.20,6.68,4.26,1.94,0.48,4.26,2.32,1.94,0.39,0.19,0.00,0.10,7.07,0.00,0.00,0.00,0.00,10.65,0.87,0.58,3.00,2.23,1.36,3.97,3.29,1.16,0.48,1.65,3.00,0.39,0.39,0.00,2.13,6.78,2.13,0.58,2.23,1.74,0.29,1.74,13.94,1.26,15.49,2.23,9.58,3.78,0.10,0.10,0.00,0.00,0.00,0.10,0.29,0.00,0.00,0.00,0.29,0.00,3.00,0.00,0.00,0.19,0.00,0.00,0.00,0.19,0.00,2.61,0.00,0.00
20091208.ATP - Adenosine Triphosphate.YQfWiDlFEcA.en.txt,1,2566,17.45,72.31,28.19,77.42,2566.00,13.95,86.17,59.86,20.07,7.79,2.46,0.90,3.78,0.23,0.43,12.28,5.34,10.99,11.30,8.22,10.13,0.66,18.16,2.88,2.07,2.10,1.64,4.40,3.90,3.35,0.55,0.16,0.04,0.23,8.03,0.00,0.31,0.00,0.55,14.03,2.96,2.65,2.57,3.66,0.94,3.66,1.29,0.78,0.39,0.04,1.09,0.27,0.19,0.00,0.31,4.52,2.30,0.35,1.29,0.66,0.04,2.03,14.93,2.34,11.26,1.71,6.20,3.16,0.74,0.19,0.08,0.43,0.08,0.04,0.43,0.00,0.08,0.04,0.19,0.00,3.74,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,3.59,0.00,0.08
20091211.Electron Transport Chain.mfgCcFXUZRk.en.txt,1,2974,41.65,68.10,42.97,53.59,2974.00,17.42,82.11,58.14,16.44,6.29,1.38,1.04,2.45,0.03,1.38,10.15,7.20,12.98,10.69,7.67,8.41,0.87,17.42,3.60,2.82,1.41,1.82,2.99,2.62,2.05,0.57,0.00,0.00,0.50,6.66,0.00,0.13,0.00,0.17,11.06,2.08,1.71,1.21,2.86,1.34,3.19,2.05,1.08,0.50,0.17,0.57,0.03,0.17,0.00,0.34,4.47,1.41,0.91,1.21,1.04,0.20,1.51,13.92,2.25,14.53,3.13,8.71,2.96,1.14,0.20,0.17,0.03,0.00,0.00,0.10,0.00,0.00,0.00,0.10,0.00,4.91,0.00,0.00,0.07,0.00,0.00,0.00,0.20,0.00,4.54,0.00,0.10
20090825.More on orbitals and electron configuration _ Chemistry _ Khan Academy.FmQoSenbtnU.en.txt,1,2686,39.78,70.16,48.99,46.34,2686.00,12.73,81.76,59.16,16.23,6.96,2.12,1.56,2.87,0.00,0.41,9.27,9.08,11.36,10.13,8.64,9.68,0.34,17.27,2.83,1.97,1.45,5.36,2.08,2.31,1.71,0.60,0.04,0.00,0.48,6.48,0.00,0.00,0.00,0.00,8.90,1.53,0.52,2.23,3.43,0.37,3.13,2.68,1.71,0.93,0.00,0.04,0.04,0.00,0.00,0.00,5.70,1.68,0.71,2.12,1.30,0.04,1.15,14.11,2.83,16.31,1.34,10.65,4.43,0.48,0.26,0.04,0.00,0.00,0.00,0.48,0.04,0.04,0.22,0.15,0.04,4.62,0.00,0.00,0.07,0.00,0.00,0.00,0.41,0.00,4.10,0.00,0.04
20150707.Hydrocarbon overview _ Properties of carbon _ Biology _ Khan Academy.oPqq3Ex6viM.en.txt,1,1443,25.08,71.51,13.87,40.75,1443.00,12.82,83.02,61.26,18.30,6.38,0.90,1.59,2.43,0.00,1.46,11.92,6.86,11.64,11.78,9.15,8.80,0.83,16.98,4.09,3.26,1.66,3.81,5.13,0.83,0.83,0.00,0.00,0.00,0.00,6.93,0.00,0.00,0.00,0.00,10.67,1.25,2.36,1.59,2.91,0.83,3.53,2.08,1.46,0.28,0.28,0.55,0.14,0.14,0.00,0.14,3.74,1.80,0.35,1.32,0.49,0.00,1.18,13.86,1.32,10.40,1.25,6.86,2.29,0.83,0.07,0.00,0.07,0.00,0.00,0.35,0.00,0.07,0.00,0.21,0.07,3.88,0.00,0.00,0.14,0.00,0.00,0.00,0.07,0.00,3.67,0.00,0.00
20150730.Fluid mosaic model of cell membranes _ Biology _ Khan Academy.cP8iQu57dQo.en.txt,1,1582,33.30,64.55,21.71,60.52,1582.00,16.31,83.38,63.97,18.20,5.88,1.33,1.14,2.97,0.00,0.44,12.33,8.09,13.46,12.52,8.41,8.28,1.14,17.64,2.02,1.96,2.09,0.25,2.97,2.53,2.15,0.32,0.06,0.06,0.06,6.51,0.00,0.00,0.00,0.00,11.63,1.77,1.14,1.58,3.16,1.58,4.42,2.15,1.20,0.32,0.13,2.34,0.51,0.82,0.00,1.07,3.16,1.39,0.13,1.14,0.44,0.13,0.88,14.79,1.77,10.37,1.96,6.89,1.52,0.44,0.06,0.00,0.00,0.00,0.00,0.70,0.00,0.06,0.06,0.57,0.00,4.24,0.00,0.00,0.13,0.00,0.00,0.00,0.32,0.00,3.79,0.00,0.00
